NAME,STATE_NAME,FIPS,HR60,HR70,HR80,HR90,UE60,UE70,UE80,UE90,DV60,DV70,DV80,DV90,MA60,MA70,MA80,MA90,DNL60,DNL70,DNL80,DNL90,MFIL60,MFIL70,MFIL80,MFIL90,FP60,FP70,FP80,FP90,BLK60,BLK70,BLK80,BLK90,GI60,GI70,GI80,GI90,FH60,FH70,FH80,FH90
Lake of the Woods,Minnesota,27077,0.0,0.0,8.8558271343,0.0,7.9,9.0,5.9025787966,3.894790086,1.858974359,2.6198083067,3.7465940054,7.3885350318,28.8,30.5,34.5,35.5,1.1887546181,1.1122488636,1.0660453147,1.1452935398,8.2201339572,8.7083092959,9.5517290744,10.279214842,36.3,16.1,13.370473538,8.5141903172,0.4414498141,0.4765487835,0.0531349628,0.0245338567,0.2852352228,0.3723362149,0.3421035684,0.3364546164,11.279620853,5.4,5.6638811513,9.5158597663
Ferry,Washington,53019,0.0,0.0,17.208742041,15.885623511,8.2,15.4,15.422885572,16.811594203,2.8632784538,3.6860068259,6.6254416961,11.543134872,25.9,27.1,27.2,32.8,0.5687860169,0.5067300549,0.9712953127,1.0494817762,8.5197898173,9.0067543199,9.6797188058,10.253968352,22.5,11.6,18.633952255,17.524509804,0.0771406531,2.2982216142,0.5506797453,0.3177124702,0.2561578434,0.3606653751,0.3619284161,0.3606395235,10.053475936,2.6,10.079575597,11.397058824
Stevens,Washington,53065,1.8638634161,1.9151584794,3.4507746989,6.4624531472,10.1,9.0,13.574064312,10.700794079,2.7114466184,2.9763779528,5.4482225657,9.1232122235,29.6,31.8,28.7,34.5,1.9752447537,1.9480958166,2.4623127941,2.5247355354,8.403352375,8.8688354928,9.7393791252,10.262699276,30.9,15.9,11.226690346,13.582677165,0.0782822635,0.091927607,0.0931709169,0.2100297273,0.2839986298,0.3940828825,0.3575660244,0.3699417691,9.2584369449,5.6,6.8121273627,10.352014822
Okanogan,Washington,53047,2.6123301985,1.2886431876,3.2638140931,6.9965017491,7.5,10.5,12.700194582,10.203543904,3.3720410898,4.0903860236,7.1223334785,9.2456265337,29.4,31.1,31.2,35.0,1.5715669765,1.585072543,1.7581014277,1.8453500425,8.4799066066,8.969923492,9.7152284031,10.049620461,25.0,12.9,12.196272706,16.946199085,0.0979623824,0.2822128581,0.1011782369,0.155922039,0.2585395475,0.3712181838,0.381240188,0.3945189158,9.0399002494,8.1,10.08492569,12.840339795
Pend Oreille,Washington,53051,0.0,0.0,7.77000777,7.4780332772,10.6,13.4,18.148999015,14.991023339,3.0089878859,4.0106951872,5.2878598248,10.158350762,31.2,33.8,31.3,36.1,1.5956485529,1.4580176908,1.8129616769,1.8509059356,8.5083542427,8.8952185838,9.6484662623,10.111436244,26.7,18.3,12.596071734,15.930979133,0.0289268152,0.0165975104,0.0699300699,0.134604599,0.243262959,0.3656140744,0.3587056295,0.3878477497,8.2439299831,4.1,7.5576430401,10.313001605
Boundary,Idaho,16021,0.0,0.0,4.5731010198,4.0006401024,10.8,12.1,16.395710827,11.379511059,2.5904203324,3.4893992933,6.0711523589,8.4772872681,27.6,30.3,29.2,32.8,1.5164622604,1.4588885831,1.7488466451,1.8820319515,8.423102268,8.946505026,9.6047445327,10.138085254,27.2,11.1,14.788732394,10.638297872,0.0,0.0547045952,0.0411579092,0.0360057609,0.2619385918,0.3503513633,0.3559134806,0.3405252361,7.1129707113,6.8,8.2494969819,9.3432007401
Lincoln,Montana,30053,7.9763898859,5.5361789293,5.6331680937,5.7204965391,17.3,10.3,27.534318902,16.118208801,3.4371395617,3.7966739881,6.1296781149,9.5660146699,24.8,25.1,28.3,34.7,1.2165748092,1.5817561842,1.5911573984,1.5766314819,8.6094076754,9.1810145426,9.7688126492,10.129985472,16.8,5.9,9.5476339379,11.672756801,0.0239291697,0.0221447157,0.0394321767,0.0629254619,0.2114246328,0.2955509596,0.3123898171,0.3667043828,6.8727392305,3.7,8.5261621847,10.738936257
Flathead,Montana,30029,1.0111734668,1.6894745734,4.4901153318,2.8144595675,13.8,9.8,14.229820532,7.7225225225,2.5964850305,3.2997316702,6.2176165803,9.2819136841,30.1,28.0,29.7,35.3,1.8589771411,2.0388182491,2.3189206973,2.4522595575,8.5926716526,9.055672892,9.8302176906,10.260042489,20.0,10.1,6.9072237462,11.714843274,0.0819050508,0.0760263558,0.0712004003,0.0945658415,0.2419263375,0.335356855,0.3364157907,0.3732164775,7.8634122881,6.4,8.0256031512,10.842785706
Glacier,Montana,30035,11.529038766,9.2738569971,28.22732405,5.5000962517,12.8,12.6,8.5604770017,16.961059815,3.8611039129,3.5012809564,5.8406113537,7.8206724782,22.8,22.1,26.8,28.2,1.3614435882,1.2914311125,1.2667147552,1.3980954259,8.5504345252,8.942983666,9.6608425786,9.9752499188,28.7,23.4,16.722284019,30.500174886,0.2075226978,0.027821571,0.028227324,0.0907515882,0.3168864307,0.3813660816,0.3815988985,0.4278562127,12.644595134,11.4,14.349276974,18.013291361
Toole,Montana,30101,0.0,5.7087400811,0.0,6.6058924561,5.5,3.6,3.5454933789,1.8503289474,3.3008252063,4.0658276864,4.6376811594,7.6882007475,25.9,29.4,29.9,35.3,1.3995395879,1.0967301767,1.0575356045,0.971021515,8.703340753,9.0478214425,9.7604828581,10.299575499,12.7,10.9,9.4049904031,10.04601227,0.0126518219,0.0,0.0179888469,0.0990883868,0.2399049248,0.3548185932,0.3798461816,0.3438126998,9.4444444444,8.0,9.4689699296,10.736196319
